source name	characteristics[organism part]	characteristics[organism]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	comment[data file]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[separation]	comment[ionization]	comment[internalstandard]	comment[extraction]	comment[cleavage agent details]
726	head or neck skin	Homo sapiens	no disease reported	animal	726	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BB8_01_2249.mzXML	m15__BB8_01_2249.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	726	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
727	head or neck skin	Homo sapiens	no disease reported	animal	727	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BB9_01_2250.mzXML	m15__BB9_01_2250.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	727	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
728	head or neck skin	Homo sapiens	no disease reported	animal	728	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BB10_01_2251.mzXML	m15__BB10_01_2251.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	728	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
729	head or neck skin	Homo sapiens	no disease reported	animal	729	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BB11_01_2252.mzXML	m15__BB11_01_2252.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	729	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
730	head or neck skin	Homo sapiens	no disease reported	animal	730	f.MSV000078556/ccms_peak/Human_Swabs/Woman/m15__BB12_01_2253.mzXML	m15__BB12_01_2253.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	730	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
731	head or neck skin	Homo sapiens	no disease reported	animal	731	f.MSV000078556/ccms_peak/Human_Swabs/Man/1m__BA10_01_915.mzXML	1m__BA10_01_915.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	731	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
732	head or neck skin	Homo sapiens	no disease reported	animal	732	f.MSV000078556/ccms_peak/Human_Swabs/Man/1m__BA1_01_906.mzXML	1m__BA1_01_906.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	732	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
733	head or neck skin	Homo sapiens	no disease reported	animal	733	f.MSV000078556/ccms_peak/Human_Swabs/Man/1m__BA2_01_907.mzXML	1m__BA2_01_907.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	733	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
734	head or neck skin	Homo sapiens	no disease reported	animal	734	f.MSV000078556/ccms_peak/Human_Swabs/Man/1m__BA3_01_908.mzXML	1m__BA3_01_908.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	734	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
735	head or neck skin	Homo sapiens	no disease reported	animal	735	f.MSV000078556/ccms_peak/Human_Swabs/Man/1m__BA4_01_909.mzXML	1m__BA4_01_909.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	735	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
736	head or neck skin	Homo sapiens	no disease reported	animal	736	f.MSV000078556/ccms_peak/Human_Swabs/Man/1m__BA5_01_910.mzXML	1m__BA5_01_910.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	736	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
737	head or neck skin	Homo sapiens	no disease reported	animal	737	f.MSV000078556/ccms_peak/Human_Swabs/Man/1m__BA6_01_911.mzXML	1m__BA6_01_911.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	737	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
738	head or neck skin	Homo sapiens	no disease reported	animal	738	f.MSV000078556/ccms_peak/Human_Swabs/Man/1m__BA7_01_912.mzXML	1m__BA7_01_912.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	738	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
739	head or neck skin	Homo sapiens	no disease reported	animal	739	f.MSV000078556/ccms_peak/Human_Swabs/Man/1m__BA8_01_913.mzXML	1m__BA8_01_913.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	739	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
740	head or neck skin	Homo sapiens	no disease reported	animal	740	f.MSV000078556/ccms_peak/Human_Swabs/Man/1m__BA9_01_914.mzXML	1m__BA9_01_914.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	740	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
741	skin of leg	Homo sapiens	no disease reported	animal	741	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BG5_01_1997.mzXML	12m__BG5_01_1997.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	741	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
742	skin of leg	Homo sapiens	no disease reported	animal	742	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BG6_01_1998.mzXML	12m__BG6_01_1998.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	742	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
743	skin of leg	Homo sapiens	no disease reported	animal	743	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BG7_01_1999.mzXML	12m__BG7_01_1999.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	743	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
744	skin of leg	Homo sapiens	no disease reported	animal	744	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BG8_01_2000.mzXML	12m__BG8_01_2000.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	744	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
745	skin of leg	Homo sapiens	no disease reported	animal	745	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BG9_01_2001.mzXML	12m__BG9_01_2001.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	745	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
746	skin of leg	Homo sapiens	no disease reported	animal	746	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BG10_01_2002.mzXML	12m__BG10_01_2002.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	746	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
747	skin of leg	Homo sapiens	no disease reported	animal	747	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BG11_01_2003.mzXML	12m__BG11_01_2003.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	747	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
748	skin of leg	Homo sapiens	no disease reported	animal	748	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BG12_01_2004.mzXML	12m__BG12_01_2004.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	748	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
749	skin of leg	Homo sapiens	no disease reported	animal	749	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH1_01_2005.mzXML	12m__BH1_01_2005.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	749	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
750	skin of leg	Homo sapiens	no disease reported	animal	750	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH2_01_2006.mzXML	12m__BH2_01_2006.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	750	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
751	skin of leg	Homo sapiens	no disease reported	animal	751	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH3_01_2007.mzXML	12m__BH3_01_2007.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	751	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
752	skin of leg	Homo sapiens	no disease reported	animal	752	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH4_01_2008.mzXML	12m__BH4_01_2008.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	752	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
753	skin of leg	Homo sapiens	no disease reported	animal	753	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH5_01_2009.mzXML	12m__BH5_01_2009.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	753	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
754	skin of leg	Homo sapiens	no disease reported	animal	754	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH6_01_2010.mzXML	12m__BH6_01_2010.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	754	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
755	skin of leg	Homo sapiens	no disease reported	animal	755	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BH7_01_2011.mzXML	12m__BH7_01_2011.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	755	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
756	skin of leg	Homo sapiens	no disease reported	animal	756	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BB11_01_1329.mzXML	5m__BB11_01_1329.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	756	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
757	skin of leg	Homo sapiens	no disease reported	animal	757	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BB12_01_1330.mzXML	5m__BB12_01_1330.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	757	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
758	skin of leg	Homo sapiens	no disease reported	animal	758	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BC1_01_1331.mzXML	5m__BC1_01_1331.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	758	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
759	skin of leg	Homo sapiens	no disease reported	animal	759	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BC2_01_1332.mzXML	5m__BC2_01_1332.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	759	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
760	skin of leg	Homo sapiens	no disease reported	animal	760	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BC3_01_1333.mzXML	5m__BC3_01_1333.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	760	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
761	skin of leg	Homo sapiens	no disease reported	animal	761	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BC4_01_1334.mzXML	5m__BC4_01_1334.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	761	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
762	skin of leg	Homo sapiens	no disease reported	animal	762	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BC5_01_1335.mzXML	5m__BC5_01_1335.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	762	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
763	skin of leg	Homo sapiens	no disease reported	animal	763	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BC6_01_1336.mzXML	5m__BC6_01_1336.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	763	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
764	skin of leg	Homo sapiens	no disease reported	animal	764	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BC7_01_1337.mzXML	5m__BC7_01_1337.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	764	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
765	skin of leg	Homo sapiens	no disease reported	animal	765	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BC8_01_1338.mzXML	5m__BC8_01_1338.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	765	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
766	skin of leg	Homo sapiens	no disease reported	animal	766	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BC9_01_1339.mzXML	5m__BC9_01_1339.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	766	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
767	skin of leg	Homo sapiens	no disease reported	animal	767	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BC10_01_1340.mzXML	5m__BC10_01_1340.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	767	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
768	skin of leg	Homo sapiens	no disease reported	animal	768	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BC11_01_1341.mzXML	5m__BC11_01_1341.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	768	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
769	skin of leg	Homo sapiens	no disease reported	animal	769	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BC12_01_1342.mzXML	5m__BC12_01_1342.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	769	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
770	skin of leg	Homo sapiens	no disease reported	animal	770	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BD1_01_1343.mzXML	5m__BD1_01_1343.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	770	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
771	skin of leg	Homo sapiens	no disease reported	animal	771	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BD2_01_1344.mzXML	5m__BD2_01_1344.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	771	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
772	skin of leg	Homo sapiens	no disease reported	animal	772	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BD3_01_1345.mzXML	5m__BD3_01_1345.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	772	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
773	skin of leg	Homo sapiens	no disease reported	animal	773	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BD4_01_1346.mzXML	5m__BD4_01_1346.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	773	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
774	skin of leg	Homo sapiens	no disease reported	animal	774	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BD5_01_1347.mzXML	5m__BD5_01_1347.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	774	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
775	skin of leg	Homo sapiens	no disease reported	animal	775	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BD6_01_1348.mzXML	5m__BD6_01_1348.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	775	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
776	skin of leg	Homo sapiens	no disease reported	animal	776	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BD7_01_1349.mzXML	5m__BD7_01_1349.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	776	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
777	skin of leg	Homo sapiens	no disease reported	animal	777	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BD8_01_1350.mzXML	5m__BD8_01_1350.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	777	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
778	skin of leg	Homo sapiens	no disease reported	animal	778	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BD9_01_1351.mzXML	5m__BD9_01_1351.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	778	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
779	skin of leg	Homo sapiens	no disease reported	animal	779	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BD10_01_1352.mzXML	5m__BD10_01_1352.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	779	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
780	skin of leg	Homo sapiens	no disease reported	animal	780	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BD11_01_1353.mzXML	5m__BD11_01_1353.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	780	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
781	skin of leg	Homo sapiens	no disease reported	animal	781	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BD12_01_1354.mzXML	5m__BD12_01_1354.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	781	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
782	skin of leg	Homo sapiens	no disease reported	animal	782	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BE1_01_1355.mzXML	5m__BE1_01_1355.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	782	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
783	skin of leg	Homo sapiens	no disease reported	animal	783	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BE2_01_1356.mzXML	5m__BE2_01_1356.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	783	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
784	skin of leg	Homo sapiens	no disease reported	animal	784	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BE3_01_1357.mzXML	5m__BE3_01_1357.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	784	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
785	skin of leg	Homo sapiens	no disease reported	animal	785	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BE4_01_1358.mzXML	5m__BE4_01_1358.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	785	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
786	skin of leg	Homo sapiens	no disease reported	animal	786	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BE5_01_1359.mzXML	5m__BE5_01_1359.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	786	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
787	skin of leg	Homo sapiens	no disease reported	animal	787	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BE6_01_1360.mzXML	5m__BE6_01_1360.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	787	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
788	skin of leg	Homo sapiens	no disease reported	animal	788	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BE7_01_1361.mzXML	5m__BE7_01_1361.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	788	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
789	skin of leg	Homo sapiens	no disease reported	animal	789	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BE8_01_1362.mzXML	5m__BE8_01_1362.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	789	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
790	skin of leg	Homo sapiens	no disease reported	animal	790	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BE9_01_1363.mzXML	5m__BE9_01_1363.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	790	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
791	skin of leg	Homo sapiens	no disease reported	animal	791	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BE10_01_1364.mzXML	5m__BE10_01_1364.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	791	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
792	skin of leg	Homo sapiens	no disease reported	animal	792	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BE11_01_1365.mzXML	5m__BE11_01_1365.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	792	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
793	skin of leg	Homo sapiens	no disease reported	animal	793	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BE12_01_1366.mzXML	5m__BE12_01_1366.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	793	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
794	skin of leg	Homo sapiens	no disease reported	animal	794	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BF1_01_1367.mzXML	5m__BF1_01_1367.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	794	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
795	skin of leg	Homo sapiens	no disease reported	animal	795	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BF2_01_1368.mzXML	5m__BF2_01_1368.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	795	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
796	skin of leg	Homo sapiens	no disease reported	animal	796	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BF3_01_1369.mzXML	5m__BF3_01_1369.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	796	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
797	skin of leg	Homo sapiens	no disease reported	animal	797	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BF4_01_1370.mzXML	5m__BF4_01_1370.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	797	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
