Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[cell line]	Characteristics[disease]	Characteristics[cell type]	Material Type	Assay Name	Comment[fraction identifier]	Comment[technical replicate]	Comment[file uri]	Comment[instrument]	Comment[MS2 analyzer type]	Comment[label]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[dissociation method]	Comment[collision energy]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[data file]
Sample 172	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 30	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_12_hTT_II.raw
Sample 173	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 30	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_12_hTT_II.raw
Sample 174	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 30	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_12_hTT_II.raw
Sample 175	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 30	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_12_hTT_II.raw
Sample 176	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 30	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_12_hTT_II.raw
Sample 170	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 37	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_48_hTT_II.raw
Sample 171	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 37	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_48_hTT_II.raw
Sample 172	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 37	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_48_hTT_II.raw
Sample 173	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 37	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_48_hTT_II.raw
Sample 174	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 37	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_48_hTT_II.raw
Sample 175	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 37	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_48_hTT_II.raw
Sample 176	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 37	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_48_hTT_II.raw
Sample 170	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 66	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_24_hTT_II.raw
Sample 171	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 66	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_24_hTT_II.raw
Sample 172	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 66	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_24_hTT_II.raw
Sample 173	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 66	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_24_hTT_II.raw
Sample 174	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 66	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_24_hTT_II.raw
Sample 175	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 66	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_24_hTT_II.raw
Sample 176	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 66	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d11_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d11_24_hTT_II.raw
Sample 178	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 9	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_12_hTT_I.raw
Sample 179	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 9	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_12_hTT_I.raw
Sample 180	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 9	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_12_hTT_I.raw
Sample 181	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 9	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_12_hTT_I.raw
Sample 182	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 9	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_12_hTT_I.raw
Sample 183	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 9	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_12_hTT_I.raw
Sample 184	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 9	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_12_hTT_I.raw
Sample 178	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 16	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_48_hTT_I.raw
Sample 179	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 16	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_48_hTT_I.raw
Sample 180	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 16	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_48_hTT_I.raw
Sample 181	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 16	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_48_hTT_I.raw
Sample 182	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 16	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_48_hTT_I.raw
Sample 183	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 16	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_48_hTT_I.raw
Sample 184	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 16	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_48_hTT_I.raw
Sample 178	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 83	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_24_hTT_I.raw
Sample 179	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 83	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_24_hTT_I.raw
Sample 180	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 83	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_24_hTT_I.raw
Sample 181	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 83	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_24_hTT_I.raw
Sample 182	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 83	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_24_hTT_I.raw
Sample 183	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 83	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_24_hTT_I.raw
Sample 184	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 83	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_24_hTT_I.raw
Sample 186	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 1	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_24_hTT_II.raw
Sample 187	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 1	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_24_hTT_II.raw
Sample 188	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 1	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_24_hTT_II.raw
Sample 189	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 1	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_24_hTT_II.raw
Sample 190	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 1	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_24_hTT_II.raw
Sample 191	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 1	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_24_hTT_II.raw
Sample 192	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 1	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_24_hTT_II.raw
Sample 186	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 31	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_12_hTT_II.raw
Sample 187	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 31	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_12_hTT_II.raw
Sample 188	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 31	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_12_hTT_II.raw
Sample 189	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 31	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_12_hTT_II.raw
Sample 190	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 31	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_12_hTT_II.raw
Sample 191	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 31	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_12_hTT_II.raw
Sample 192	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 31	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_12_hTT_II.raw
Sample 186	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 90	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_48_hTT_II.raw
Sample 187	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 90	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_48_hTT_II.raw
Sample 188	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 90	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_48_hTT_II.raw
Sample 189	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 90	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_48_hTT_II.raw
Sample 190	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 90	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_48_hTT_II.raw
Sample 191	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 90	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_48_hTT_II.raw
Sample 192	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 90	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d12_48_hTT_II.raw
Sample 194	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 10	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d13_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d13_12_hTT_I.raw
Sample 195	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 10	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d13_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d13_12_hTT_I.raw
Sample 196	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 10	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d13_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d13_12_hTT_I.raw
Sample 197	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 10	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d13_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d13_12_hTT_I.raw
