#fileformat=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F21.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-21.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-21.raw	21	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F21.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-21.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-21.raw	21	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F21.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-21.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-21.raw	21	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F21.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-21.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-21.raw	21	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F22.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-22.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-22.raw	22	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F22.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-22.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-22.raw	22	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F22.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-22.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-22.raw	22	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F22.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-22.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-22.raw	22	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F22.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-22.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-22.raw	22	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F22.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-22.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-22.raw	22	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F22.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-22.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-22.raw	22	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F22.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-22.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-22.raw	22	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F22.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-22.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-22.raw	22	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F22.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-22.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-22.raw	22	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F23.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-23.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-23.raw	23	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F23.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-23.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-23.raw	23	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F23.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-23.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-23.raw	23	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F23.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-23.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-23.raw	23	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F23.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-23.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-23.raw	23	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F23.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-23.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-23.raw	23	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F23.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-23.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-23.raw	23	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F23.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-23.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-23.raw	23	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F23.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-23.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-23.raw	23	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F23.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-23.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-23.raw	23	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F24.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-24.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-24.raw	24	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F24.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-24.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-24.raw	24	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F24.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-24.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-24.raw	24	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F24.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-24.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-24.raw	24	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F24.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-24.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-24.raw	24	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F24.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-24.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-24.raw	24	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F24.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-24.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-24.raw	24	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F24.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-24.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-24.raw	24	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F24.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-24.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-24.raw	24	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F24.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-24.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-24.raw	24	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
