#file_format=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[medium]	characteristics[temperature]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[label].1	comment[file uri]
Run14_cell3	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	108	LB medium, then Terrific Broth	37°C	run 14	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_14_RZ_SBP_Exp14.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp14.raw
Run14_cell4_and_5	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	109	LB medium, then Terrific Broth	37°C	run 14	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_14_RZ_SBP_Exp14.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp14.raw
Run14_cell6_and_7	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	110	LB medium, then Terrific Broth	37°C	run 14	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_14_RZ_SBP_Exp14.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp14.raw
Run14_cell8_and_9	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	111	LB medium, then Terrific Broth	37°C	run 14	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_14_RZ_SBP_Exp14.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp14.raw
Run14_carrier_cells_1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	112	LB medium, then Terrific Broth	37°C	run 14	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_14_RZ_SBP_Exp14.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp14.raw
Run14_carrier_cells_2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	113	LB medium, then Terrific Broth	37°C	run 14	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_14_RZ_SBP_Exp14.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp14.raw
Run15_cell1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	114	LB medium, then Terrific Broth	37°C	run 15	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_15_RZ_SBP_Exp15.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp15.raw
Run15_cell2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	115	LB medium, then Terrific Broth	37°C	run 15	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_15_RZ_SBP_Exp15.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp15.raw
Run15_cell3	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	116	LB medium, then Terrific Broth	37°C	run 15	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_15_RZ_SBP_Exp15.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp15.raw
Run15_cell4_and_5	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	117	LB medium, then Terrific Broth	37°C	run 15	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_15_RZ_SBP_Exp15.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp15.raw
Run15_cell6_and_7	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	118	LB medium, then Terrific Broth	37°C	run 15	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_15_RZ_SBP_Exp15.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp15.raw
Run15_cell8_and_9	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	119	LB medium, then Terrific Broth	37°C	run 15	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_15_RZ_SBP_Exp15.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp15.raw
Run15_carrier_cells_1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	120	LB medium, then Terrific Broth	37°C	run 15	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_01_RZ_SBP_Exp15.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp15.raw
Run15_carrier_cells_2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	121	LB medium, then Terrific Broth	37°C	run 15	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_01_RZ_SBP_Exp15.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp15.raw
Run16_cell1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	122	LB medium, then Terrific Broth	37°C	run 16	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_16_RZ_SBP_Exp16.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp16.raw
Run16_cell2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	123	LB medium, then Terrific Broth	37°C	run 16	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_16_RZ_SBP_Exp16.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp16.raw
Run16_cell3	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	124	LB medium, then Terrific Broth	37°C	run 16	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_16_RZ_SBP_Exp16.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp16.raw
Run16_cell4_and_5	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	125	LB medium, then Terrific Broth	37°C	run 16	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_16_RZ_SBP_Exp16.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp16.raw
Run16_cell6_and_7	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	126	LB medium, then Terrific Broth	37°C	run 16	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_16_RZ_SBP_Exp16.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp16.raw
Run16_cell8_and_9	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	127	LB medium, then Terrific Broth	37°C	run 16	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_16_RZ_SBP_Exp16.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp16.raw
Run16_carrier_cells_1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	128	LB medium, then Terrific Broth	37°C	run 16	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_16_RZ_SBP_Exp16.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp16.raw
Run16_carrier_cells_2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	129	LB medium, then Terrific Broth	37°C	run 16	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_16_RZ_SBP_Exp16.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp16.raw
