source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[compound]	characteristics[biological replicate]	characteristics[enrichment process]	characteristics[synthetic peptide]	characteristics[sample amount]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sdrf version]	comment[sdrf template]
Sample 171	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	not applicable	enrichment of phosphorylated Protein	not synthetic	100 μg	run 51	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y100_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y100_04.raw	4	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 172	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	not synthetic	100 μg	run 51	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y100_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y100_04.raw	4	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 173	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	not applicable	enrichment of phosphorylated Protein	not synthetic	100 μg	run 52	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y100_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y100_05.raw	5	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 174	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	not synthetic	100 μg	run 52	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y100_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y100_05.raw	5	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 175	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	not applicable	enrichment of phosphorylated Protein	not synthetic	100 μg	run 53	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y100_06.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y100_06.raw	6	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 176	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	not synthetic	100 μg	run 53	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y100_06.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y100_06.raw	6	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 177	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	not applicable	enrichment of phosphorylated Protein	not synthetic	100 μg	run 54	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y150_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y150_01.raw	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 178	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	not synthetic	150 μg	run 54	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y150_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y150_01.raw	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 179	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	not applicable	enrichment of phosphorylated Protein	not synthetic	100 μg	run 55	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y150_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y150_02.raw	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 180	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	not synthetic	150 μg	run 55	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y150_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y150_02.raw	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 181	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	not applicable	enrichment of phosphorylated Protein	not synthetic	100 μg	run 56	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y150_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y150_03.raw	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 182	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	not synthetic	150 μg	run 56	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y150_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y150_03.raw	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 183	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	not applicable	enrichment of phosphorylated Protein	not synthetic	100 μg	run 57	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y150_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y150_04.raw	4	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 184	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	not synthetic	150 μg	run 57	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y150_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y150_04.raw	4	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 185	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	not applicable	enrichment of phosphorylated Protein	not synthetic	100 μg	run 58	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y150_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y150_05.raw	5	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 186	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	not synthetic	150 μg	run 58	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y150_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y150_05.raw	5	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 187	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	not applicable	enrichment of phosphorylated Protein	not synthetic	100 μg	run 59	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y150_06.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y150_06.raw	6	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 188	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	not synthetic	150 μg	run 59	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y150_06.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y150_06.raw	6	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 189	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	not applicable	enrichment of phosphorylated Protein	not synthetic	100 μg	run 60	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y200_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y200_01.raw	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 190	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	not synthetic	200 μg	run 60	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y200_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y200_01.raw	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 191	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	not applicable	enrichment of phosphorylated Protein	not synthetic	100 μg	run 61	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y200_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y200_02.raw	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 192	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	not synthetic	200 μg	run 61	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y200_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y200_02.raw	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 193	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	not applicable	enrichment of phosphorylated Protein	not synthetic	100 μg	run 62	proteomic profiling by mass spectrometry	20180810_QE3_nLC3_AH_DDA_H100_Y200_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180810_QE3_nLC3_AH_DDA_H100_Y200_03.raw	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
