source name	assay name	characteristics[organism]	characteristics[organism part]	characteristics[sex]	characteristics[cell type]	characteristics[development stage]	characteristics[disease]	comment[biological replicate]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[instrument]	comment[cleavage agent details]	comment[number of missed cleavages]	comment[data file]	comment[file uri]
D2	run_2_fraction_7	Citrus maxima	floral bud	male	not applicable	stage 2	fertile (HBP)	2	iTRAQ reagent 118	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	7	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_2_F7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_2_F7.raw
C2	run_2_fraction_7	Citrus maxima	floral bud	male	not applicable	stage 2	sterile (G1+HBP)	2	iTRAQ reagent 119	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	7	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_2_F7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_2_F7.raw
A3	run_2_fraction_7	Citrus maxima	floral bud	male	not applicable	stage 1	sterile (G1+HBP)	3	iTRAQ reagent 121	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	7	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_2_F7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_2_F7.raw
IS2	run_2_fraction_8	Citrus maxima	floral bud	male	not applicable	pool	pool	2	iTRAQ reagent 113	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	8	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_2_F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_2_F8.raw
B2	run_2_fraction_8	Citrus maxima	floral bud	male	not applicable	stage 1	fertile (HBP)	2	iTRAQ reagent 114	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	8	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_2_F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_2_F8.raw
A2	run_2_fraction_8	Citrus maxima	floral bud	male	not applicable	stage 1	sterile (G1+HBP)	2	iTRAQ reagent 115	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	8	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_2_F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_2_F8.raw
B3	run_2_fraction_8	Citrus maxima	floral bud	male	not applicable	stage 1	fertile (HBP)	3	iTRAQ reagent 116	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	8	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_2_F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_2_F8.raw
F2	run_2_fraction_8	Citrus maxima	floral bud	male	not applicable	stage 3	fertile (HBP)	2	iTRAQ reagent 117	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	8	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_2_F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_2_F8.raw
D2	run_2_fraction_8	Citrus maxima	floral bud	male	not applicable	stage 2	fertile (HBP)	2	iTRAQ reagent 118	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	8	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_2_F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_2_F8.raw
C2	run_2_fraction_8	Citrus maxima	floral bud	male	not applicable	stage 2	sterile (G1+HBP)	2	iTRAQ reagent 119	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	8	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_2_F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_2_F8.raw
A3	run_2_fraction_8	Citrus maxima	floral bud	male	not applicable	stage 1	sterile (G1+HBP)	3	iTRAQ reagent 121	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	8	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_2_F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_2_F8.raw
IS2	run_2_fraction_9	Citrus maxima	floral bud	male	not applicable	pool	pool	2	iTRAQ reagent 113	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	9	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_2_F9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_2_F9.raw
B2	run_2_fraction_9	Citrus maxima	floral bud	male	not applicable	stage 1	fertile (HBP)	2	iTRAQ reagent 114	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	9	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_2_F9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_2_F9.raw
A2	run_2_fraction_9	Citrus maxima	floral bud	male	not applicable	stage 1	sterile (G1+HBP)	2	iTRAQ reagent 115	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	9	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_2_F9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_2_F9.raw
B3	run_2_fraction_9	Citrus maxima	floral bud	male	not applicable	stage 1	fertile (HBP)	3	iTRAQ reagent 116	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	9	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_2_F9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_2_F9.raw
F2	run_2_fraction_9	Citrus maxima	floral bud	male	not applicable	stage 3	fertile (HBP)	2	iTRAQ reagent 117	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	9	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_2_F9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_2_F9.raw
D2	run_2_fraction_9	Citrus maxima	floral bud	male	not applicable	stage 2	fertile (HBP)	2	iTRAQ reagent 118	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	9	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_2_F9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_2_F9.raw
C2	run_2_fraction_9	Citrus maxima	floral bud	male	not applicable	stage 2	sterile (G1+HBP)	2	iTRAQ reagent 119	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	9	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_2_F9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_2_F9.raw
A3	run_2_fraction_9	Citrus maxima	floral bud	male	not applicable	stage 1	sterile (G1+HBP)	3	iTRAQ reagent 121	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	9	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_2_F9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_2_F9.raw
IS3	run_3_fraction_1	Citrus maxima	floral bud	male	not applicable	pool	pool	3	iTRAQ reagent 113	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F1.raw
C3	run_3_fraction_1	Citrus maxima	floral bud	male	not applicable	stage 2	sterile (G1+HBP)	3	iTRAQ reagent 114	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F1.raw
C4	run_3_fraction_1	Citrus maxima	floral bud	male	not applicable	stage 2	sterile (G1+HBP)	4	iTRAQ reagent 115	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F1.raw
E3	run_3_fraction_1	Citrus maxima	floral bud	male	not applicable	stage 3	sterile (G1+HBP)	3	iTRAQ reagent 116	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F1.raw
D3	run_3_fraction_1	Citrus maxima	floral bud	male	not applicable	stage 2	fertile (HBP)	3	iTRAQ reagent 117	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F1.raw
A4	run_3_fraction_1	Citrus maxima	floral bud	male	not applicable	stage 1	sterile (G1+HBP)	4	iTRAQ reagent 118	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F1.raw
F3	run_3_fraction_1	Citrus maxima	floral bud	male	not applicable	stage 3	fertile (HBP)	3	iTRAQ reagent 119	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F1.raw
B4	run_3_fraction_1	Citrus maxima	floral bud	male	not applicable	stage 1	fertile (HBP)	4	iTRAQ reagent 121	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F1.raw
IS3	run_3_fraction_10	Citrus maxima	floral bud	male	not applicable	pool	pool	3	iTRAQ reagent 113	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	10	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F10.raw
C3	run_3_fraction_10	Citrus maxima	floral bud	male	not applicable	stage 2	sterile (G1+HBP)	3	iTRAQ reagent 114	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	10	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F10.raw
C4	run_3_fraction_10	Citrus maxima	floral bud	male	not applicable	stage 2	sterile (G1+HBP)	4	iTRAQ reagent 115	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	10	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F10.raw
E3	run_3_fraction_10	Citrus maxima	floral bud	male	not applicable	stage 3	sterile (G1+HBP)	3	iTRAQ reagent 116	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	10	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F10.raw
D3	run_3_fraction_10	Citrus maxima	floral bud	male	not applicable	stage 2	fertile (HBP)	3	iTRAQ reagent 117	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	10	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F10.raw
A4	run_3_fraction_10	Citrus maxima	floral bud	male	not applicable	stage 1	sterile (G1+HBP)	4	iTRAQ reagent 118	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	10	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F10.raw
F3	run_3_fraction_10	Citrus maxima	floral bud	male	not applicable	stage 3	fertile (HBP)	3	iTRAQ reagent 119	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	10	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F10.raw
B4	run_3_fraction_10	Citrus maxima	floral bud	male	not applicable	stage 1	fertile (HBP)	4	iTRAQ reagent 121	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	10	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F10.raw
IS3	run_3_fraction_2	Citrus maxima	floral bud	male	not applicable	pool	pool	3	iTRAQ reagent 113	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	2	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F2.raw
C3	run_3_fraction_2	Citrus maxima	floral bud	male	not applicable	stage 2	sterile (G1+HBP)	3	iTRAQ reagent 114	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	2	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F2.raw
C4	run_3_fraction_2	Citrus maxima	floral bud	male	not applicable	stage 2	sterile (G1+HBP)	4	iTRAQ reagent 115	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	2	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F2.raw
E3	run_3_fraction_2	Citrus maxima	floral bud	male	not applicable	stage 3	sterile (G1+HBP)	3	iTRAQ reagent 116	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	2	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F2.raw
D3	run_3_fraction_2	Citrus maxima	floral bud	male	not applicable	stage 2	fertile (HBP)	3	iTRAQ reagent 117	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	2	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F2.raw
A4	run_3_fraction_2	Citrus maxima	floral bud	male	not applicable	stage 1	sterile (G1+HBP)	4	iTRAQ reagent 118	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	2	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F2.raw
F3	run_3_fraction_2	Citrus maxima	floral bud	male	not applicable	stage 3	fertile (HBP)	3	iTRAQ reagent 119	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	2	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F2.raw
B4	run_3_fraction_2	Citrus maxima	floral bud	male	not applicable	stage 1	fertile (HBP)	4	iTRAQ reagent 121	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	2	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F2.raw
IS3	run_3_fraction_3	Citrus maxima	floral bud	male	not applicable	pool	pool	3	iTRAQ reagent 113	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	3	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F3.raw
C3	run_3_fraction_3	Citrus maxima	floral bud	male	not applicable	stage 2	sterile (G1+HBP)	3	iTRAQ reagent 114	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	3	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F3.raw
C4	run_3_fraction_3	Citrus maxima	floral bud	male	not applicable	stage 2	sterile (G1+HBP)	4	iTRAQ reagent 115	NT=iTRAQ8plex:13C(6)15N(2) ;PP=Any N-term;TA=K;AC=UNIMOD:731;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	3	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F3.raw
E3	run_3_fraction_3	Citrus maxima	floral bud	male	not applicable	stage 3	sterile (G1+HBP)	3	iTRAQ reagent 116	NT=iTRAQ8plex;PP=Any N-term;TA=K;AC=UNIMOD:730;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	3	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	2	P12162_3_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000527/P12162_3_F3.raw
