#fileformat=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	material type	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 104	proteomic profiling by mass spectrometry	12	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GE2_30min_Top8_86ms_RP12_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GE2_30min_Top8_86ms_RP12_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 105	proteomic profiling by mass spectrometry	21	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GE3_30min_Top8_86ms_RP21_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GE3_30min_Top8_86ms_RP21_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 106	proteomic profiling by mass spectrometry	28	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GE4_30min_Top8_86ms_RP28_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GE4_30min_Top8_86ms_RP28_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 107	proteomic profiling by mass spectrometry	37	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GE5_30min_Top8_86ms_RP37_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GE5_30min_Top8_86ms_RP37_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 108	proteomic profiling by mass spectrometry	44	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GE6_30min_Top8_86ms_RP44_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GE6_30min_Top8_86ms_RP44_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 109	proteomic profiling by mass spectrometry	6	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GF1_30min_Top8_86ms_RP06_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GF1_30min_Top8_86ms_RP06_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 110	proteomic profiling by mass spectrometry	11	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GF2_30min_Top8_86ms_RP11_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GF2_30min_Top8_86ms_RP11_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 111	proteomic profiling by mass spectrometry	22	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GF3_30min_Top8_86ms_RP22_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GF3_30min_Top8_86ms_RP22_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 112	proteomic profiling by mass spectrometry	27	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GF4_30min_Top8_86ms_RP27_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GF4_30min_Top8_86ms_RP27_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 113	proteomic profiling by mass spectrometry	38	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GF5_30min_Top8_86ms_RP38_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GF5_30min_Top8_86ms_RP38_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 114	proteomic profiling by mass spectrometry	43	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GF6_30min_Top8_86ms_RP43_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GF6_30min_Top8_86ms_RP43_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 115	proteomic profiling by mass spectrometry	7	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GG1_30min_Top8_86ms_RP07_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GG1_30min_Top8_86ms_RP07_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 116	proteomic profiling by mass spectrometry	10	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GG2_30min_Top8_86ms_RP10_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GG2_30min_Top8_86ms_RP10_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 117	proteomic profiling by mass spectrometry	23	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GG3_30min_Top8_86ms_RP23_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GG3_30min_Top8_86ms_RP23_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 118	proteomic profiling by mass spectrometry	26	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GG4_30min_Top8_86ms_RP26_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GG4_30min_Top8_86ms_RP26_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 119	proteomic profiling by mass spectrometry	39	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GG5_30min_Top8_86ms_RP39_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GG5_30min_Top8_86ms_RP39_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 120	proteomic profiling by mass spectrometry	42	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GG6_30min_Top8_86ms_RP42_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GG6_30min_Top8_86ms_RP42_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 121	proteomic profiling by mass spectrometry	8	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GH1_30min_Top8_86ms_RP08_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GH1_30min_Top8_86ms_RP08_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 122	proteomic profiling by mass spectrometry	9	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GH2_30min_Top8_86ms_RP09_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GH2_30min_Top8_86ms_RP09_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 123	proteomic profiling by mass spectrometry	24	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GH3_30min_Top8_86ms_RP24_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GH3_30min_Top8_86ms_RP24_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 124	proteomic profiling by mass spectrometry	25	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GH4_30min_Top8_86ms_RP25_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GH4_30min_Top8_86ms_RP25_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 125	proteomic profiling by mass spectrometry	40	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GH5_30min_Top8_86ms_RP40_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GH5_30min_Top8_86ms_RP40_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 126	proteomic profiling by mass spectrometry	41	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GH6_30min_Top8_86ms_RP41_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GH6_30min_Top8_86ms_RP41_R1.raw
