source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[enrichment process]	assay name	comment[file uri]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[Enrichment method]	comment[synthetic peptide]	comment[data file]	factor value[Enrichment method]	factor value[synthetic peptide]
Sample 154	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 154	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib72_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib72_direct.raw	not applicable	synthetic
Sample 229	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 229	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib72_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib72_IMAC.raw	IMAC	synthetic
Sample 119	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 119	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib72_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TIO2	synthetic	lib72_TiO2.raw	TIO2	synthetic
Sample 106	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 106	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib73_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib73_direct.raw	not applicable	synthetic
Sample 38	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 38	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib73_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib73_IMAC.raw	IMAC	synthetic
Sample 81	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 81	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib73_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TIO2	synthetic	lib73_TiO2.raw	TIO2	synthetic
Sample 112	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 112	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib74_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib74_direct.raw	not applicable	synthetic
Sample 27	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 27	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib74_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib74_IMAC.raw	IMAC	synthetic
Sample 226	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 226	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib74_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TIO2	synthetic	lib74_TiO2.raw	TIO2	synthetic
Sample 57	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 57	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib75_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib75_direct.raw	not applicable	synthetic
Sample 104	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 104	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib75_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib75_IMAC.raw	IMAC	synthetic
Sample 121	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 121	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib75_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TIO2	synthetic	lib75_TiO2.raw	TIO2	synthetic
Sample 256	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 256	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib76_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib76_direct.raw	not applicable	synthetic
Sample 250	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 250	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib76_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib76_IMAC.raw	IMAC	synthetic
Sample 209	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 209	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib76_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TIO2	synthetic	lib76_TiO2.raw	TIO2	synthetic
Sample 184	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 184	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib77_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib77_direct.raw	not applicable	synthetic
Sample 247	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 247	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib77_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib77_IMAC.raw	IMAC	synthetic
Sample 185	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 185	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib77_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TIO2	synthetic	lib77_TiO2.raw	TIO2	synthetic
Sample 279	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 279	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib78_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib78_direct.raw	not applicable	synthetic
Sample 330	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 330	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib78_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib78_IMAC.raw	IMAC	synthetic
Sample 255	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 255	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib78_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TIO2	synthetic	lib78_TiO2.raw	TIO2	synthetic
Sample 136	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 136	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib79_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib79_direct.raw	not applicable	synthetic
Sample 35	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 35	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib79_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib79_IMAC.raw	IMAC	synthetic
Sample 76	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 76	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib79_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TIO2	synthetic	lib79_TiO2.raw	TIO2	synthetic
Sample 323	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 323	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib80_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib80_direct.raw	not applicable	synthetic
Sample 268	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 268	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib80_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib80_IMAC.raw	IMAC	synthetic
Sample 314	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 314	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib80_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TIO2	synthetic	lib80_TiO2.raw	TIO2	synthetic
Sample 315	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 315	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib81_direct_2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib81_direct_2.raw	not applicable	synthetic
Sample 93	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 93	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib81_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib81_direct.raw	not applicable	synthetic
Sample 270	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 270	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib81_IMAC_2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib81_IMAC_2.raw	IMAC	synthetic
Sample 311	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 311	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib81_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib81_IMAC.raw	IMAC	synthetic
Sample 125	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 125	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib81_TiO2_2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TIO2	synthetic	lib81_TiO2_2.raw	TIO2	synthetic
Sample 63	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 63	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib81_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TIO2	synthetic	lib81_TiO2.raw	TIO2	synthetic
Sample 111	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 111	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib82_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib82_direct.raw	not applicable	synthetic
Sample 263	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 263	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib82_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib82_IMAC.raw	IMAC	synthetic
Sample 177	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 177	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib82_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TIO2	synthetic	lib82_TiO2.raw	TIO2	synthetic
Sample 236	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 236	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib83_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib83_direct.raw	not applicable	synthetic
Sample 219	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 219	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib83_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib83_IMAC.raw	IMAC	synthetic
Sample 175	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 175	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib83_TiO2.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TIO2	synthetic	lib83_TiO2.raw	TIO2	synthetic
Sample 58	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 58	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib84_direct.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	synthetic	lib84_direct.raw	not applicable	synthetic
Sample 87	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 87	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/lib84_IMAC.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	synthetic	lib84_IMAC.raw	IMAC	synthetic
