source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[file uri]	comment[sdrf version]	comment[sdrf template]
Sample 108	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 108	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-47.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-47.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 109	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 109	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-48.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-48.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 110	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 110	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-49.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-49.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 111	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 111	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-5.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-5.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 112	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 112	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-50.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-50.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 113	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 113	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-51.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-51.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 114	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 114	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-52.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-52.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 115	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 115	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-53.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-53.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 116	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 116	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-54.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-54.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 117	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 117	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-55.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-55.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 118	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 118	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-56.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-56.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 119	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 119	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-57.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-57.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 120	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 120	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-58.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-58.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 121	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 121	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-59.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-59.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 122	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 122	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-6.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-6.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 123	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 123	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-60.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-60.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 124	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 124	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-61.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-61.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 125	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 125	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-62.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-62.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 126	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 126	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-63.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-63.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 127	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 127	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-64.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-64.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 128	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 128	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-65.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-65.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 129	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 129	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-66.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-66.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 130	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 130	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-67.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-67.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 131	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 131	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-68.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-68.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 132	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 132	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-69.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-69.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 133	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 133	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-7.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-7.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 134	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 134	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-70.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-70.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 135	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 135	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-71.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-71.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 136	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 136	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-72.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-72.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 137	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 137	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-73.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-73.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 138	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 138	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-74.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-74.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 139	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 139	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-75.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-75.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 140	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 140	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-76.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-76.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 141	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 141	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-77.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-77.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 142	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 142	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-78.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-78.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 143	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 143	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-79.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-79.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
